PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,IsChild,FareCategory
1,False,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,S,False,Low
2,True,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C,False,Very High
3,True,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,S,False,Medium
4,True,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,S,False,Very High
5,False,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,S,False,Medium
6,False,3,"Moran, Mr. James",male,28.0,0,0,330877,8.4583,Q,False,Medium
7,False,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,S,False,Very High
8,False,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,S,True,High
9,True,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,S,False,Medium
10,True,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,C,True,High
11,True,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,S,True,High
12,True,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,S,False,High
13,False,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,S,False,Medium
14,False,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,S,False,Very High
15,False,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,S,True,Low
16,True,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,S,False,High
17,False,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Q,True,High
18,True,2,"Williams, Mr. Charles Eugene",male,28.0,0,0,244373,13.0,S,False,Medium
19,False,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,S,False,High
20,True,3,"Masselmani, Mrs. Fatima",female,28.0,0,0,2649,7.225,C,False,Low
21,False,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,S,False,High
22,True,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,S,False,Medium
23,True,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,Q,True,Medium
24,True,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,S,False,Very High
25,False,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,S,True,High
26,True,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,S,False,Very High
27,False,3,"Emir, Mr. Farred Chehab",male,28.0,0,0,2631,7.225,C,False,Low
28,False,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,S,False,Very High
29,True,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,28.0,0,0,330959,7.8792,Q,False,Low
30,False,3,"Todoroff, Mr. Lalio",male,28.0,0,0,349216,7.8958,S,False,Low
31,False,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,C,False,High
32,True,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,28.0,1,0,PC 17569,146.5208,C,False,Very High
33,True,3,"Glynn, Miss. Mary Agatha",female,28.0,0,0,335677,7.75,Q,False,Low
34,False,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,S,False,Medium
35,False,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,C,False,Very High
36,False,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,S,False,Very High
37,True,3,"Mamee, Mr. Hanna",male,28.0,0,0,2677,7.2292,C,False,Low
